Asset,Order Type,Type,Side,Qty,Filled Qty,Avg. Fill Price,Status,Source,Submitted At,Filled At,Expires At
AMD,Stop @ $263.99,stop,sell,18,18,263.99,filled,access_key,"Oct 30, 2025, 8:29:50 AM","Oct 30, 2025, 8:29:50 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Limit @ $199.76,limit,sell,23,23,199.76,filled,access_key,"Oct 30, 2025, 8:24:45 AM","Oct 30, 2025, 8:25:19 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,23,23,199.15,filled,access_key,"Oct 30, 2025, 8:24:45 AM","Oct 30, 2025, 8:24:45 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,18,18,264.2624,filled,access_key,"Oct 30, 2025, 8:24:43 AM","Oct 30, 2025, 8:24:43 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Limit @ $461.51,limit,sell,11,11,461.51,filled,access_key,"Oct 30, 2025, 8:24:41 AM","Oct 30, 2025, 8:25:27 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,11,11,460.16,filled,access_key,"Oct 30, 2025, 8:24:41 AM","Oct 30, 2025, 8:24:41 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Limit @ $207.03,limit,sell,26,26,207.03,filled,access_key,"Oct 30, 2025, 8:24:39 AM","Oct 30, 2025, 8:25:49 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,26,26,206.3999,filled,access_key,"Oct 30, 2025, 8:24:39 AM","Oct 30, 2025, 8:24:39 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.29,stop,sell,11,11,460.2571,filled,access_key,"Oct 30, 2025, 8:23:22 AM","Oct 30, 2025, 8:23:22 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $263.64,stop,sell,20,20,263.61,filled,access_key,"Oct 30, 2025, 8:21:33 AM","Oct 30, 2025, 8:21:33 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Limit @ $352.48,limit,sell,12,12,352.48,filled,access_key,"Oct 30, 2025, 8:21:29 AM","Oct 30, 2025, 8:22:13 AM","Oct 30, 2025, 9:00:00 AM"
